name_ru,name_uk,name_en,aliases,lat,lon,admin1,admin2,country,feature
Киев,Київ,Kyiv,Kiev,50.4501,30.5234,Киевская область,,UA,city
Харьков,Харків,Kharkiv,Kharkov,49.9935,36.2304,Харьковская область,,UA,city
Запорожье,Запоріжжя,Zaporizhzhia,Zaporozhye,47.8388,35.1396,Запорожская область,,UA,city
Энергодар,Енергодар,Enerhodar,Energodar,47.4986,34.6586,Запорожская область,,UA,city
Херсон,Херсон,Kherson,,46.6354,32.6169,Херсонская область,,UA,city
Одесса,Одеса,Odesa,Odessa,46.4825,30.7233,Одесская область,,UA,city
Николаев,Миколаїв,Mykolaiv,Nikolaev,46.9750,31.9946,Николаевская область,,UA,city
Днепр,Дніпро,Dnipro,Днепропетровск|Dnepr,48.4647,35.0462,Днепропетровская область,,UA,city
Львов,Львів,Lviv,Lvov,49.8397,24.0297,Львовская область,,UA,city
Донецк,Донецьк,Donetsk,,48.0159,37.8028,Донецкая область,,UA,city
Луганск,Луганськ,Luhansk,Lugansk,48.5740,39.3078,Луганская область,,UA,city
Бахмут,Бахмут,Bakhmut,Артёмовск|Artemivsk,48.5951,38.0000,Донецкая область,,UA,city
Авдеевка,Авдіївка,Avdiivka,Avdeevka,48.1394,37.7492,Донецкая область,,UA,city
Купянск,Куп'янськ,Kupiansk,Kupyansk,49.7106,37.6156,Харьковская область,,UA,city
Краматорск,Краматорськ,Kramatorsk,,48.7194,37.5842,Донецкая область,,UA,city
Мариуполь,Маріуполь,Mariupol,,47.0951,37.5413,Донецкая область,,UA,city
Мелитополь,Мелітополь,Melitopol,,46.8489,35.3650,Запорожская область,,UA,city
Покровск,Покровськ,Pokrovsk,Красноармейск,48.2814,37.1761,Донецкая область,,UA,city
Славянск,Слов'янськ,Sloviansk,Slavyansk,48.8530,37.6060,Донецкая область,,UA,city
Кривой Рог,Кривий Ріг,Kryvyi Rih,Krivoy Rog,47.9105,33.3918,Днепропетровская область,,UA,city
Кременчуг,Кременчук,Kremenchuk,,49.0757,33.4186,Полтавская область,,UA,city
Полтава,Полтава,Poltava,,49.5883,34.5514,Полтавская область,,UA,city
Сумы,Суми,Sumy,,50.9077,34.7981,Сумская область,,UA,city
Чернигов,Чернігів,Chernihiv,Chernigov,51.4982,31.2893,Черниговская область,,UA,city
Токмак,Токмак,Tokmak,,47.2531,35.7050,Запорожская область,,UA,city
Часов Яр,Часів Яр,Chasiv Yar,,48.5931,37.8306,Донецкая область,,UA,city
Белгород,,Belgorod,,50.5997,36.5983,Белгородская область,,RU,city
Курск,,Kursk,,51.7304,36.1926,Курская область,,RU,city
Брянск,,Bryansk,,53.2434,34.3639,Брянская область,,RU,city
Ростов-на-Дону,,Rostov-on-Don,Ростов,47.2357,39.7015,Ростовская область,,RU,city
Краснодар,,Krasnodar,,45.0355,38.9753,Краснодарский край,,RU,city
Воронеж,,Voronezh,,51.6608,39.2003,Воронежская область,,RU,city
Москва,,Moscow,Moskva,55.7558,37.6173,Москва,,RU,city
Севастополь,Севастополь,Sevastopol,,44.6166,33.5254,Севастополь,,RU,city
Симферополь,Сімферополь,Simferopol,,44.9521,34.1024,Крым,,RU,city
Керчь,Керч,Kerch,,45.3560,36.4675,Крым,,RU,city
Феодосия,Феодосія,Feodosia,,45.0319,35.3824,Крым,,RU,city
Джанкой,Джанкой,Dzhankoi,Dzhankoy,45.7086,34.3931,Крым,,RU,city
Афипский,Афіпський,Afipsky,,44.9008,38.8419,Краснодарский край,Северский район,RU,town
Морозовск,,Morozovsk,,48.3500,41.8256,Ростовская область,Морозовский район,RU,town
Энгельс,,Engels,,51.4839,46.1249,Саратовская область,,RU,city
Туапсе,,Tuapse,,44.1006,39.0770,Краснодарский край,,RU,city
