name_ru,name_uk,name_en,aliases,type,lat,lon,admin1,admin2,country
Афипский НПЗ,Афіпський НПЗ,Afipsky refinery,Афипский НПЗ|Афипск НПЗ|Afipsky oil refinery,refinery,44.902,38.842,Краснодарский край,Северский район,RU
Туапсинский НПЗ,,Tuapse refinery,Туапсе НПЗ,refinery,44.100,39.077,Краснодарский край,,RU
Славянский НПЗ,,Slavyansk refinery,Slavyansk-na-Kubani refinery|НПЗ Славянск,refinery,45.263,38.128,Краснодарский край,Славянский район,RU
Новошахтинский НПЗ,,Novoshakhtinsk refinery,НЗНП|Новошахтинский завод нефтепродуктов,refinery,47.783,39.799,Ростовская область,,RU
Рязанский НПЗ,,Ryazan refinery,Рязань НПЗ,refinery,54.556,39.902,Рязанская область,,RU
Аэродром Морозовск,,Morozovsk airbase,Морозовск аэродром|авиабаза Морозовск,airfield,48.308,41.788,Ростовская область,Морозовский район,RU
Аэродром Энгельс,,Engels airbase,Энгельс-2|авиабаза Энгельс,airfield,51.480,46.210,Саратовская область,,RU
Аэродром Саки,,Saky airbase,Новофёдоровка аэродром|авиабаза Саки,airfield,45.093,33.595,Крым,,RU
Запорожская АЭС,Запорізька АЕС,Zaporizhzhia NPP,ЗАЭС|Энергодар АЭС|ZNPP,power_plant,47.512,34.585,Запорожская область,Энергодар,UA
Каховская ГЭС,Каховська ГЕС,Kakhovka dam,Каховская плотина|Kakhovka HPP,power_plant,46.778,33.370,Херсонская область,,UA
Крымский мост,Кримський міст,Crimean bridge,Керченский мост|Kerch bridge,bridge,45.310,36.510,Крым,,RU
Курская АЭС,,Kursk NPP,Курчатов АЭС,power_plant,51.673,35.605,Курская область,Курчатов,RU
